filename,cleaned_sentence,unvowel_sentence,uuid
Fadel_test.txt,فُرُوعٌ: لَوْ أَلْقَتْ بَدَنَيْنِ وَلَوْ مُلْتَصِقَيْنِ فَغُرَّتَانِ، إِذْ الْوَاحِدُ لَا يَكُونُ لَهُ بَدَنَانِ، فَالْبَدَنَانِ حَقِيقَةً يَلْتَزِمَانِ رَأْسَيْنِ، فَلَوْ لَمْ يَكُنْ إِلَّا رَأْسٌ فَالْمَجْمُوعُ بَدَنٌ وَاحِدٌ حَقِيقَةً فَلَا تَجِبُ إِلَّا غُرَّةُ وَاحِدَةٍ. (16 / 176),فروع: لو ألقت بدنين ولو ملتصقين فغرتان، إذ الواحد لا يكون له بدنان، فالبدنان حقيقة يلتزمان رأسين، فلو لم يكن إلا رأس فالمجموع بدن واحد حقيقة فلا تجب إلا غرة واحدة. (16 / 176),03f1a8a1-b24d-4e29-b6d0-3259d5d0e150
Fadel_test.txt,464 - حَدَّثَنِي يَحْيَى عَنْ مَالِك عَنْ هِشَامِ بْنِ عُرْوَةَ عَنْ أَبِيهِ (2 / 192),464 - حدثني يحيى عن مالك عن هشام بن عروة عن أبيه (2 / 192),ea57a6e5-3acf-4bf6-8b5d-643d3e2f3423
Fadel_test.txt,قَوْلُهُ: (وَقِيلَ هُمَا فِي الصَّالِحِ) وَسَكَتَ عَنْ عَكْسِ هَذِهِ الطَّرِيقِ لِأَنَّهَا الْمَذْكُورَةُ فِي كَلَامِ الْمُصَنِّفِ أَوْ لَا فَجُمْلَةُ الطُّرُقِ حِينَئِذٍ بِهَذِهِ سَبْعَةٌ وَبَقِيَ طَرِيقَةٌ ثَامِنَةٌ هِيَ الْمَذْكُورَةُ فِي كَلَامِ الْمُصَنِّفِ ثَانِيًا لِأَنَّهَا مُلَفَّقَةٌ مِنْ طَرِيقَيْنِ مِنْ هَذِهِ الطُّرُقِ الْمَذْكُورَةِ وَلِذَلِكَ جَعَلَهَا الزَّرْكَشِيُّ ثَلَاثَةَ أَوْجُهٍ فَتَأَمَّلْ.,قوله: (وقيل هما في الصالح) وسكت عن عكس هذه الطريق لأنها المذكورة في كلام المصنف أو لا فجملة الطرق حينئذ بهذه سبعة وبقي طريقة ثامنة هي المذكورة في كلام المصنف ثانيا لأنها ملفقة من طريقين من هذه الطرق المذكورة ولذلك جعلها الزركشي ثلاثة أوجه فتأمل.,3675172c-72f1-4b9b-b996-7786b68cbadf
Fadel_test.txt,قَوْلُهُ (وَإِنْ جَعَلَا مُدَّةً قَدْ تَكْمُلُ وَقَدْ لَا تَكْمُلُ، فَهَلْ تَصِحُّ؟ عَلَى وَجْهَيْنِ) .,قوله (وإن جعلا مدة قد تكمل وقد لا تكمل، فهل تصح؟ على وجهين) .,4d0ad9a9-a62b-4497-a289-6a2f877b8f98
Fadel_test.txt,وَظَاهِرُ كَلَامِ ابْنِ عَرَفَةَ بَلْ صَرِيحُهُ أَنَّهُ لَا يُشْتَرَطُ فِيهِ الْحُكْمُ.,وظاهر كلام ابن عرفة بل صريحه أنه لا يشترط فيه الحكم.,da124781-6448-40a7-a407-70af756af012
Fadel_test.txt,لِأَنَّهُ مَا كَانَ مُتَعَدِّيًا فِيمَا أَكْرَهَهُمْ عَلَيْهِ مُخَالِفًا لِأَمْرِ الْخَلِيفَةِ، فَكَانُوا بِمَنْزِلَةِ الْآلَةِ لَهُ بَعْدَ تَحَقُّقِ الْإِكْرَاهِ، فَكَأَنَّهُ أَخَذَ الْمَالَ مِنْهُمْ وَطَرَحَهُ، فَيَضْمَنُ لَهُمْ قِيمَتَهُ. (3 / 259),لأنه ما كان متعديا فيما أكرههم عليه مخالفا لأمر الخليفة، فكانوا بمنزلة الآلة له بعد تحقق الإكراه، فكأنه أخذ المال منهم وطرحه، فيضمن لهم قيمته. (3 / 259),a6674c9c-91fc-42ba-a3f2-4174f8999434
Fadel_test.txt,قَوْلُهُ: حَتَّى يَبْلُغَ أَشُدَّهُ - وَالْوَجْهُ الرَّابِعُ,قوله: حتى يبلغ أشده - والوجه الرابع,0ce2572e-73cb-47dc-8ae9-3a51b54da7f1
Fadel_test.txt,(ص) وَفِي بِرِّهِ فِي لَأَطَأَنَّهَا فَوَطِئَهَا حَائِضًا (ش) يَعْنِي أَنَّهُ اخْتُلِفَ فِيمَنْ حَلَفَ لَيَطَأَنَّهَا اللَّيْلَةَ أَوْ مُطْلَقًا فَوَطِئَهَا فِي الْحَيْضِ أَوْ فِي نَهَارِ رَمَضَانَ مَثَلًا هَلْ يَبِرُّ بِذَلِكَ أَوْ لَا وَيَحْنَثُ إِنْ كَانَ أَجَلُهُ مَضَى (قَوْلَانِ) مَنْشَؤُهُمَا حَمْلُ اللَّفْظِ عَلَى مَفْهُومِهِ لُغَةً وَقَدْ حَصَلَ أَوْ شَرْعًا وَلَمْ يَحْصُلْ بِنَاءً عَلَى أَنَّ الْمَعْدُومَ شَرْعًا كَالْمَعْدُومِ حِسًّا وَظَاهِرُهُ جَرَيَانُ الْقَوْلَيْنِ وَلَوْ فَرَّطَ حَتَّى حَصَلَ الْحَيْضُ وَوَطِئَهَا وَكَانَتْ يَمِينُهُ غَيْرَ مُؤَقَّتَةٍ وَهُوَ ظَاهِرُ كَلَامِهِمْ هُنَا.,(ص) وفي بره في لأطأنها فوطئها حائضا (ش) يعني أنه اختلف فيمن حلف ليطأنها الليلة أو مطلقا فوطئها في الحيض أو في نهار رمضان مثلا هل يبر بذلك أو لا ويحنث إن كان أجله مضى (قولان) منشؤهما حمل اللفظ على مفهومه لغة وقد حصل أو شرعا ولم يحصل بناء على أن المعدوم شرعا كالمعدوم حسا وظاهره جريان القولين ولو فرط حتى حصل الحيض ووطئها وكانت يمينه غير مؤقتة وهو ظاهر كلامهم هنا.,00c2b53a-4ebd-42d0-af24-43fc5dd1d593
Fadel_test.txt,[قَوْلُهُ: عِنْدَ أَكْثَرِ أَهْلِ الْعَرَبِيَّةِ] وَقِيلَ مُشْتَقَّةٌ مِنْ الصَّلَوَيْنِ وَهُمَا عِرْقَانِ مَعَ الرِّدْفِ وَقِيلَ عَظْمَانِ يَنْحَنِيَانِ فِي الرُّكُوعِ وَالسُّجُودِ وَقِيلَ مُشْتَقَّةٌ مِنْ الصِّلَةِ لِأَنَّهَا تَصِلُ بَيْنَ الْعَبْدِ وَرَبِّهِ.,[قوله: عند أكثر أهل العربية] وقيل مشتقة من الصلوين وهما عرقان مع الردف وقيل عظمان ينحنيان في الركوع والسجود وقيل مشتقة من الصلة لأنها تصل بين العبد وربه.,27d14175-02f5-4295-9f1b-0da03eb48255
Fadel_test.txt,- وَلَوْ أَنَّ أَمِيرَ عَسْكَرِ الْمُسْلِمِينَ أَهْدَى إِلَى مَلِكِ الْعَدُوِّ فَعَوَّضَهُ مَلِكُ الْعَدُوِّ نُظِرَ فِي هَدِيَّتِهِ، فَإِنْ كَانَ مِثْلُ هَدِيَّةِ أَمِيرِ الْعَسْكَرِ، أَوْ فِيهِ زِيَادَةٌ بِقَدْرِ مَا يَتَغَابَنُ النَّاسُ فِيهِ، فَهُوَ سَالِمٌ لَهُ.,- ولو أن أمير عسكر المسلمين أهدى إلى ملك العدو فعوضه ملك العدو نظر في هديته، فإن كان مثل هدية أمير العسكر، أو فيه زيادة بقدر ما يتغابن الناس فيه، فهو سالم له.,05be4f42-407e-4695-9404-d74df7b308fb
